"nba_id","active","first_year","last_year","team_id","veteran","first_name","last_name"
"78094","0","1946","1954","0","Y","Scolari","Freddie"
"78095","0","1977","1984","0","Y","Scott","Alvin"
"1064","0","1996","1996","0","Y","Scott","Brent"
"2","0","1983","1996","0","Y","Scott","Byron"
"78097","0","1971","1979","0","Y","Scott","Charlie"
"192","0","1990","1999","0","Y","Scott","Dennis"
"1109","0","1996","1996","0","Y","Scott","James"
"203118","1","2012","2017","1610612764","Y","Scott","Mike"
"78100","0","1961","1969","0","Y","Scott","Ray"
"1035","0","1996","2001","0","Y","Scott","Shawnelle"
"78102","0","1985","1987","0","Y","Scurry","Carey"
"78103","0","1975","1977","0","Y","Seals","Bruce"
"1578","0","1997","1997","0","Y","Seals","Shea"
"907","0","1992","1999","0","Y","Sealy","Malik"
"78105","0","1975","1975","0","Y","Searcy","Ed"
"78106","0","1955","1963","0","Y","Sears","Ken"
"78107","0","1949","1949","0","Y","See","Wayne"
"200757","1","2006","2017","1610612762","Y","Sefolosha","Thabo"
"938","0","1988","1998","0","Y","Seikaly","Rony"
"78109","0","1949","1949","0","Y","Selbo","Glen"
"202729","0","2011","2012","0","Y","Selby","Josh"
"1627782","1","2016","2017","1610612763","Y","Selden","Wayne"
"78110","0","1986","1992","0","Y","Sellers","Brad"
"78111","0","1976","1976","0","Y","Sellers","Phil"
"78112","0","1949","1949","0","Y","Seltz","Rollie"
"78113","0","1954","1963","0","Y","Selvy","Frank"
"78114","0","1946","1949","0","Y","Seminoff","Jim"
"200754","0","2006","2008","0","Y","Sene","Mouhamed"
"78115","0","1946","1953","0","Y","Senesky","George"
"202338","0","2010","2016","0","Y","Seraphin","Kevin"
"1738","0","2001","2004","0","Y","Sesay","Ansu"
"201196","1","2007","2017","1610612766","Y","Sessions","Ramon"
"78116","0","1984","1984","0","Y","Sewell","Tom"
"78117","0","1947","1959","0","Y","Seymour","Paul"
"78118","0","1946","1946","0","Y","Shaback","Nick"
"1593","0","1988","1998","0","Y","Shackleford","Charles"
"78120","0","1949","1950","0","Y","Shaeffer","Carl"
"78121","0","1961","1963","0","Y","Shaffer","Lee"
"201203","0","2009","2013","0","Y","Shakur","Mustafa"
"1539","0","1997","1997","0","Y","Shammgod","God"
"78123","0","1946","1948","0","Y","Shannon","Earl"
"78124","0","1948","1949","0","Y","Shannon","Howie"
"78125","0","1951","1959","0","Y","Share","Charlie"
"78126","0","1950","1960","0","Y","Sharman","Bill"
"201594","0","2008","2008","0","Y","Sharpe","Walter"
"1117","0","1988","1990","0","Y","Shasky","John"
"78128","0","1956","1957","0","Y","Shavlik","Ron"
"216","0","1988","2002","0","Y","Shaw","Brian"
"1745","0","1998","2002","0","Y","Shaw","Casey"
"78130","0","1946","1946","0","Y","Shea","Bob"
"78131","0","1946","1946","0","Y","Sheffield","Fred"
"78132","0","1980","1981","0","Y","Shelton","Craig"
"78133","0","1976","1985","0","Y","Shelton","Lonnie"
"203129","0","2012","2013","0","Y","Shengelia","Tornike"
"1852","0","1998","1998","0","Y","Sheppard","Jeff"
"78135","0","1977","1978","0","Y","Sheppard","Steve"
"78136","0","1982","1982","0","Y","Sherod","Edmund"
"78653","0","1949","1949","0","Y","Shipp","Charlie"
"2321","0","2002","2004","0","Y","Shirley","Paul"
